projectname,language,totalcommits,sloc,time,hour,filechangecount,duration,contributors,ageyear,contributor,total_file_num,fileabslog,filepro,fileprolog,commitlog,sloclog,durationlog,contrilog,dynamicstatic,strongweak
0xd4d-dnSpy,C#,1410,250980,154666.5,42.96291667,25,58132490,6,1.868971515,6,2954,1.397940009,0.008463101,-2.072470476,3.149219113,5.399639115,0.271602682,0.77815125,static,strong
activeadmin-activeadmin,Ruby,4774,16470,10960596.5,3044.610139,2,222557637,416,7.155273823,416,316,0.301029996,0.006329114,-2.198657082,3.678882415,4.216693599,0.854626258,2.619093331,dynamic,strong
adam-p-markdown-here,JS,762,24601,2608241,724.5113889,1,157019558,10,5.048211098,10,30,0,0.033333333,-1.477121259,2.881954971,4.390952761,0.703137507,1,dynamic,weak
adobe-brackets,JS,17369,299450,3969682,1102.689444,2,170606720,332,5.485041152,332,871,0.301029996,0.002296211,-2.638988207,4.239774815,5.476324317,0.73917989,2.521138084,dynamic,weak
AFNetworking-AFNetworking,Obj-C,2731,7997,1052964,292.49,1,187021876,274,6.012791795,274,47,0,0.021276596,-1.672097853,3.4363217,3.902927096,0.779076166,2.437750563,static,weak
afollestad-material-dialogs,Java,1467,7486,195836,54.39888889,1,78914298,71,2.537110918,71,36,0,0.027777778,-1.556302497,3.166430114,3.874249823,0.404339454,1.851258349,static,strong
airbnb-lottie-android,Java,568,7179,149671,41.57527778,1,18105438,26,0.582093557,26,107,0,0.009345794,-2.029383796,2.754348336,3.856063953,-0.235007208,1.414973348,static,strong
airbnb-lottie-ios,Obj-C,260,6578,126979,35.27194444,2,18105682,36,0.582101402,36,95,0.301029996,0.021052632,-1.676693601,2.414973348,3.818093869,-0.235001355,1.556302501,static,weak
airbnb-superset,Python,1958,16520,711810,197.725,1,56394266,129,1.813087256,129,122,0,0.008196721,-2.086359847,3.291812687,4.218010043,0.258418705,2.11058971,dynamic,strong
akkadotnet-akka.net,C#,4039,229033,804008.5,223.3356944,2,105572542,121,3.394178948,121,1561,0.301029996,0.00128123,-2.892372901,3.606273853,5.359898062,0.530734735,2.08278537,static,strong
alcatraz-Alcatraz,Obj-C,761,1989,330482.5,91.80069444,1,127250390,46,4.091126222,46,40,0,0.025,-1.602059991,2.881384657,3.298634783,0.611842879,1.662757832,static,weak
alexjc-neural-doodle,Python,123,410,2999351,833.1530556,1,36678282,3,1.179214313,3,1,0,1,0,2.089905111,2.612783857,0.071592742,0.477121255,dynamic,strong
alexjc-neural-enhance,Python,103,369,141025.5,39.17375,1,18572290,10,0.597102945,10,1,0,1,0,2.012837225,2.567026366,-0.223950787,1,dynamic,strong
alibaba-AndFix,C++,52,1115,-1,-0.000277778,3,51615201,4,1.659439333,4,12,0.477121255,0.25,-0.602059991,1.716003344,3.047274867,0.21996138,0.602059991,static,weak
alibaba-dubbo,Java,1838,104982,123,0.034166667,1,153806638,17,4.944915059,17,1210,0,0.000826446,-3.082785518,3.264345507,5.021114842,0.694158836,1.230448921,static,strong
alibaba-fastjson,Java,2090,125627,809954,224.9872222,2,173595668,57,5.581136445,57,2181,0.301029996,0.000917011,-3.037625455,3.320146286,5.099082989,0.74672264,1.755874856,static,strong
alibaba-tengine,C,942,158497,753131,209.2030556,1,161587523,56,5.195072113,56,268,0,0.003731343,-2.428134827,2.974050903,5.200021046,0.71559158,1.748188027,static,weak
allinurl-goaccess,C,2339,17255,276036,76.67666667,3,120125872,45,3.862071502,45,32,0.477121255,0.09375,-1.028028724,3.369030222,4.236914964,0.58682031,1.653212514,static,weak
alvarotrigo-fullPage.js,JS,1274,5426,1211698.5,336.5829167,2,114220891,97,3.672225148,97,13,0.301029996,0.153846154,-0.812913356,3.105169428,3.734479789,0.5649293,1.986771734,dynamic,weak
andlabs-libui,C,2802,9535,66934,18.59277778,1,64668246,17,2.079097415,17,74,0,0.013513514,-1.869231704,3.447468131,3.979320697,0.317874838,1.230448921,static,weak
android10-Android-CleanArchitecture,Java,242,2777,2375688,659.9133333,1,85441834,9,2.746972544,9,81,0,0.012345679,-1.908485019,2.383815366,3.44357588,0.438854319,0.954242509,static,strong
